study_id,version,data_new_shared,data_new_denom,data_reuse_shared,data_reuse_denom,code_new_shared,code_new_denom,software_reuse_shared,software_reuse_denom,materials_new_shared,materials_new_denom,materials_reuse_shared,materials_reuse_denom,protocol_shared,protocol_denom,data_new_perc,data_reuse_perc,code_new_perc,software_reuse_perc,materials_new_perc,materials_reuse_perc,protocol_perc
21,published,4,4,0,0,0,0,2,2,0,2,25,28,12,12,1,NaN,NaN,1,0,0.89,1
22,first_version,0,0,8,9,2,2,11,13,0,0,0,0,1,1,NaN,0.89,1,0.85,NaN,NaN,1
22,published,0,0,9,9,2,2,11,13,0,0,0,0,1,1,NaN,1,1,0.85,NaN,NaN,1
23,first_version,0,3,0,0,1,1,3,4,0,0,0,0,0,0,0,NaN,1,0.75,NaN,NaN,NaN
23,published,0,3,0,0,1,1,3,4,0,0,0,0,0,0,0,NaN,1,0.75,NaN,NaN,NaN
24,first_version,0,4,0,0,0,2,1,6,0,0,5,6,0,8,0,NaN,0,0.17,NaN,0.83,0
24,published,5,5,1,1,2,2,8,8,0,0,6,6,8,8,1,1,1,1,NaN,1,1
25,first_version,0,2,0,0,0,1,0,6,0,0,0,1,0,2,0,NaN,0,0,NaN,0,0
25,published,2,2,0,0,2,2,5,6,0,0,1,1,0,2,1,NaN,1,0.83,NaN,1,0
26,first_version,0,8,1,1,0,1,0,10,0,0,0,10,12,12,0,1,0,0,NaN,0,1
26,published,9,9,1,1,0,1,10,10,0,5,23,23,12,12,1,1,0,1,0,1,1
27,first_version,0,3,0,1,0,4,3,8,0,0,0,5,0,5,0,0,0,0.38,NaN,0,0
